date,close,congestion
20240701,2994.73,0.391
20240702,2997.01,0.3899
20240703,2982.38,0.3901
20240704,2957.57,0.3736
20240705,2949.93,0.4151
20240708,2922.45,0.4023
20240709,2959.37,0.412
20240710,2939.36,0.423
20240711,2970.39,0.4082
20240712,2971.3,0.4272
20240715,2974.01,0.4187
20240716,2976.3,0.4612
20240717,2962.85,0.4461
20240718,2977.13,0.4347
20240719,2982.31,0.4496
20240722,2964.22,0.4404
20240723,2915.37,0.4169
20240724,2901.95,0.412
20240725,2886.74,0.4336
20240726,2890.9,0.4266
20240729,2891.85,0.4155
20240730,2879.3,0.4155
20240731,2938.75,0.3982
20240801,2932.39,0.3919
20240802,2905.34,0.4065
20240805,2860.7,0.4057
20240806,2867.28,0.4071
20240807,2869.83,0.4018
20240808,2869.9,0.3887
20240809,2862.19,0.3976
20240812,2858.2,0.3695
20240813,2867.95,0.3929
20240814,2850.65,0.3876
20240815,2877.36,0.3784
20240816,2879.43,0.3829
20240819,2893.67,0.3934
20240820,2866.66,0.3849
20240821,2856.58,0.4063
20240822,2848.77,0.4075
20240823,2854.37,0.4045
20240826,2855.52,0.406
20240827,2848.73,0.3962
20240828,2837.43,0.4
20240829,2823.11,0.4051
20240830,2842.21,0.4021
20240902,2811.04,0.3882
20240903,2802.98,0.3902
20240904,2784.28,0.3998
20240905,2788.31,0.3892
20240906,2765.81,0.3971
20240909,2736.49,0.4169
20240910,2744.19,0.3868
20240911,2721.8,0.4266
20240912,2717.12,0.4106
20240913,2704.09,0.4212
20240918,2717.28,0.3906
20240919,2736.02,0.3978
20240920,2736.81,0.4175
20240924,2863.13,0.4121
20240925,2896.31,0.3966
20240926,3000.95,0.4128
20240927,3087.53,0.4043
20240930,3336.5,0.3643
20241008,3489.78,0.3568
20241009,3258.86,0.4285
20241010,3301.93,0.4356
20241011,3217.74,0.4198
20241014,3284.32,0.4346
20241015,3201.29,0.4404
20241016,3202.95,0.4425
20241017,3169.38,0.4388
20241018,3261.56,0.4366
20241021,3268.11,0.4157
20241022,3285.87,0.4069
20241023,3302.8,0.4087
20241024,3280.26,0.4212
20241025,3299.7,0.3897
20241028,3322.2,0.3652
20241029,3286.41,0.3803
20241030,3266.24,0.3997
20241031,3279.82,0.4161
20241101,3272.01,0.4148
20241104,3310.21,0.4291
20241105,3386.99,0.4157
20241106,3383.81,0.4119
20241107,3470.66,0.411
20241108,3452.3,0.4018
20241111,3470.07,0.4018
20241112,3421.97,0.3945
20241113,3439.28,0.4128
20241114,3379.84,0.4049
20241115,3330.73,0.4146
20241118,3323.85,0.3925
20241119,3346.01,0.4078
20241120,3367.99,0.3818
20241121,3370.4,0.397
20241122,3267.19,0.3794
20241125,3263.76,0.3935
20241126,3259.76,0.3773
20241127,3309.78,0.3809
20241128,3295.7,0.3769
20241129,3326.46,0.3833
20241202,3363.98,0.357
20241203,3378.81,0.3635
20241204,3364.65,0.3741
20241205,3368.86,0.3716
20241206,3404.08,0.3705
20241209,3402.53,0.3567
20241210,3422.66,0.3636
20241211,3432.49,0.3546
20241212,3461.5,0.3412
20241213,3391.88,0.357
20241216,3386.33,0.3586
20241217,3361.49,0.3613
20241218,3382.21,0.3864
20241219,3370.03,0.3993
20241220,3368.07,0.3936
20241223,3351.26,0.3748
20241224,3393.53,0.3894
20241225,3393.35,0.3872
20241226,3398.08,0.4085
20241227,3400.14,0.4039
20241230,3407.33,0.396
20241231,3351.76,0.3895
