ts_code,name,report_date,year,analyst_count,eps_avg,eps_max,eps_min,np_avg,np_max,np_min,revenue_avg,target_price_avg,rating_buy,rating_hold,rating_neutral,rating_sell
600519,贵州茅台,2025-08-13,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-11,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-08-01,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-07-29,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-07-24,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-07-23,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-07-23,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-07-22,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-07-21,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-07-18,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-07-14,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-07-09,,,,,,,,,,,中性,,,
600519,贵州茅台,2025-07-08,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-07-07,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-07-07,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-07-07,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-07-01,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-06-30,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-06-29,,,,,,,,,,,增持,,,
600519,贵州茅台,2025-06-24,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-06-24,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-06-24,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-06-21,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-06-20,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-06-20,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-06-18,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-06-13,,,,,,,,,,,买入,,,
600519,贵州茅台,2025-06-12,,,,,,,,,,,买入,,,
